dataset,method,n,failed,mse_mean,mse_p95,mse_max,max_squared_error_mean,max_squared_error_p95,max_squared_error_max,max_squared_error_valid_count,max_squared_error_missing_count,fit_pass_rate,reference_mse_mean,reference_mse_max,reference_max_squared_error_mean,reference_max_squared_error_p95,reference_max_squared_error_max,reference_max_squared_error_valid_count,reference_max_squared_error_missing_count,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
USGS,liang_feature_iki_2017_adaptation,20,0,0.00012658616501664714,0.00033537053515125164,0.00056918419658611,0.0006672762017987064,0.001704944383781552,0.0031391141305169646,20,0,0.45,0.000130571162993598,0.0006020499599509471,0.0009100667032887923,0.002840848335107704,0.005269433617363737,20,0,0.45,24.25,,,,,,25.347706393222325,
USGS,dung_direct_knot_2017_adaptation,20,0,0.00013680237770747375,0.00044541770251234494,0.0007554364845794372,0.0008928379395551078,0.003053567945516472,0.0050902278850013475,20,0,0.45,0.00014059679217851177,0.0007865721189556918,0.0011595259365699802,0.0041399412145913745,0.007063508142243371,20,0,0.45,23.2,,,,,,463.7756042997353,
USGS,kang_sparse_2015_adaptation,20,0,0.0001572919287710468,0.00044541770251234494,0.0007554364845794372,0.0012042774501464292,0.003490182348631526,0.0050902278850013475,20,0,0.4,0.00016141291083172704,0.0007865721189556918,0.0014682679348670138,0.0041399412145913745,0.007063508142243371,20,0,0.4,29.65,,,,,,268.21108880394604,
USGS,luo_linf_de_2022_adaptation,20,0,0.0001502197581615201,0.0004362645390273752,0.0005723732148800461,0.0011033422385750295,0.002977269988506751,0.0035642687448069485,20,0,0.4,0.00015412974287939057,0.0006009719180563524,0.001325697818055527,0.004022087788566692,0.004706439621749754,20,0,0.4,23.55,,,,,,1397.9297177487751,
IndustrialOffset,ours,20,0,4.198622847780186e-05,0.00027854314548440693,0.00029440086178484623,0.00039888472326430013,0.0021466008831926126,0.002162480569436412,20,0,0.85,4.2229296650774974e-05,0.00029587374973693924,0.00043271711994882794,0.0021475960101168287,0.0021684194254360393,20,0,0.85,21.75,,,,,,9.2279494,7.769752975
IndustrialOffset,park_dominant_point_2007_adaptation,20,0,4.4100996780988385e-05,0.00010075766641917569,0.00013600465119612213,0.0005640308251847584,0.0016274442264758264,0.0016744129787560548,20,0,0.9,4.483346542352012e-05,0.00014137348253207517,0.0006683486397626229,0.002124765141121824,0.002244505873594368,20,0,0.9,14.8,,,,,,21.368140447884798,
IndustrialOffset,liang_feature_iki_2017_adaptation,20,0,2.961990567070861e-05,4.519189553638688e-05,4.557867821861352e-05,0.00026404649630151365,0.0005506485370334712,0.000636248624734641,20,0,1.0,2.9922226243505076e-05,4.578326572433883e-05,0.00030783911504890635,0.0005616442425356807,0.0006365034533263499,20,0,1.0,11.3,,,,,,10.784968553343788,
IndustrialOffset,dung_direct_knot_2017_adaptation,20,0,3.4989596338450476e-05,4.932892977188765e-05,4.945732169452701e-05,0.0002721350299890058,0.00039954421612134076,0.0006722345283341972,20,0,1.0,3.536510195940928e-05,5.1641046357132816e-05,0.0003444323431025505,0.000673316097895424,0.0007231447329800629,20,0,0.95,10.1,,,,,,130.2511834044708,
IndustrialOffset,kang_sparse_2015_adaptation,20,0,1.5195885202445403e-05,3.803836580798852e-05,4.123788672462079e-05,0.0002244675603226164,0.0007129928505056745,0.0011018137981049848,20,0,1.0,1.5533617805658952e-05,4.1483961403218486e-05,0.0003078824830025873,0.0011707350214776638,0.0012222369613966982,20,0,1.0,22.4,,,,,,735.0250756077003,
IndustrialOffset,luo_linf_de_2022_adaptation,20,0,3.136149275679241e-05,4.596590583410718e-05,4.915194656025311e-05,0.00037723818668072487,0.0010902317746193841,0.0011050951568293379,20,0,1.0,243.43060039731313,4868.611416080624,157448.67759649525,157448.67831544083,3148973.5430875183,20,0,0.9,11.55,,,,,,2656.381722490187,
