sample_id,source_dataset,group_id,split,reference_point_count,model_point_count,retained_internal_knots,normalized_input_refit_mse,normalized_reference_mse,normalized_reference_rms,normalized_point_distance_p95,normalized_point_distance_max,normalized_symmetric_chamfer_mse,normalized_hausdorff,original_unit_reference_mse,original_unit_reference_rms,network_batch_time_ms,network_amortized_time_ms
uji2_06859_stroke_00,uji_pen_characters_v2,tst_UPV_W36,test,94,192,15,0.00023921880441384773,0.00032468056517611824,0.018018894671319834,0.03880177287132607,0.08716133883356461,0.00017348190157570143,0.062256062523123365,0.0037024650315143496,0.06084788436350397,20.703399990452453,1.2939624994032783
uji2_10898_stroke_00,uji_pen_characters_v2,tst_UPV_W57,test,52,192,15,7.344502890057226e-05,0.00013694438187795535,0.01170232378111097,0.024386889804122285,0.05308790386556641,3.275776730007563e-05,0.040460921716538804,0.0028639017605902348,0.053515434788388244,20.703399990452453,1.2939624994032783
uji2_05121_stroke_01,uji_pen_characters_v2,tst_UPV_W27,test,10,192,4,3.7469737345786515e-06,7.521756032115412e-06,0.002742582000982908,0.0048156509799154625,0.005572640140660789,9.481496169750928e-06,0.005185404924233624,1.2211330063909173e-05,0.0034944713568591705,20.703399990452453,1.2939624994032783
uji2_07377_stroke_00,uji_pen_characters_v2,tst_UPV_W39,test,34,192,20,0.00010233596152478022,0.00022835639293871318,0.015111465611869459,0.034214578431978816,0.0530229852934304,5.7478288031156605e-05,0.0490840256406781,0.0021622797668878558,0.04650032007296139,27.539650007383898,1.7212281254614936
uji2_11573_stroke_00,uji_pen_characters_v2,tst_UPV_W60,test,95,192,17,0.0001450748844268447,0.00045231596505126336,0.021267721200242947,0.04490209813822511,0.0543292241299423,0.00015346240534011004,0.0514340776337693,0.014646195746065762,0.12102146812060148,27.539650007383898,1.7212281254614936
uji2_06941_stroke_00,uji_pen_characters_v2,tst_UPV_W36,test,70,192,28,9.662681025982215e-06,1.3241409148128715e-05,0.00363887470904519,0.008587678822237703,0.01236513450039156,5.49958666260477e-05,0.014420295130066681,0.00014249305329903223,0.011937045417482178,27.539650007383898,1.7212281254614936
uji2_10948_stroke_00,uji_pen_characters_v2,tst_UPV_W57,test,11,192,4,2.0635866221337424e-05,4.36526731749935e-05,0.006607016964939132,0.011337888922654011,0.012325516529536321,2.59060033896993e-05,0.012075882400881914,7.984393967324208e-05,0.008935543613750766,27.539650007383898,1.7212281254614936
uji2_04028_stroke_00,uji_pen_characters_v2,tst_UPV_W21,test,52,192,28,1.0691057543557562e-05,1.2978378071288653e-05,0.0036025516056385166,0.007477129284793884,0.014661506269063896,5.124914991594771e-05,0.015057807068027975,0.0001329418298219697,0.01153004032178421,27.539650007383898,1.7212281254614936
uji2_03364_stroke_01,uji_pen_characters_v2,tst_UPV_W18,test,5,192,3,6.776208325630358e-06,1.4123181228452421e-05,0.0037580821210362637,0.00647144780799877,0.0069882338864523256,1.0985494620450996e-05,0.007896454302673397,2.240805249642082e-05,0.004733714450241039,27.539650007383898,1.7212281254614936
uji2_02827_stroke_00,uji_pen_characters_v2,tst_UJI_W15,test,18,192,18,1.2429396177474294e-05,4.065558340660835e-05,0.00637617310042696,0.015566500704822954,0.015837789653982692,3.562627079460326e-05,0.016452709062889315,0.00039963719033990513,0.01999092770083232,27.539650007383898,1.7212281254614936
uji2_08090_stroke_00,uji_pen_characters_v2,tst_UPV_W42,test,47,192,28,1.9253144359818516e-05,4.1894189628459774e-05,0.006472572102994278,0.012601449045092538,0.023848076171734265,6.213105899314109e-05,0.01856100065782707,0.0003648509098516667,0.019101070908503184,27.539650007383898,1.7212281254614936
uji2_06321_stroke_00,uji_pen_characters_v2,tst_UPV_W33,test,65,192,19,0.00019977122592607736,0.000300534065922886,0.017335918375525596,0.037158720232030776,0.05078210850007366,0.00013213790696254472,0.04851510255795163,0.005082500970558634,0.07129166129750823,27.539650007383898,1.7212281254614936
uji2_03891_stroke_00,uji_pen_characters_v2,tst_UPV_W21,test,59,192,25,3.980549428903976e-06,6.179172181214243e-06,0.0024857940745794376,0.004696467944468666,0.007536494746759513,4.5659701983193164e-05,0.012886250854952376,0.00017844540246070788,0.013358345798066011,27.539650007383898,1.7212281254614936
uji2_10458_stroke_00,uji_pen_characters_v2,tst_UPV_W54,test,9,192,15,5.839557383213647e-05,0.0003155107668635488,0.01776262274731828,0.032357934549389636,0.036113916040782554,7.426447874723494e-05,0.03373721363345345,0.0004398700592496791,0.020973079393586412,27.539650007383898,1.7212281254614936
uji2_10404_stroke_01,uji_pen_characters_v2,tst_UPV_W54,test,17,192,5,2.0211137220255026e-05,3.088941037168874e-05,0.005557824248002876,0.008919469275598111,0.013590820891946676,1.8021875854175948e-05,0.013517688987194324,5.7947018307130727e-05,0.0076122938925878795,27.539650007383898,1.7212281254614936
uji2_08656_stroke_01,uji_pen_characters_v2,tst_UPV_W45,test,12,192,8,1.382724548737975e-05,3.250710484264661e-05,0.005701500227365304,0.0113381269231413,0.012214559194857023,1.7179388371868153e-05,0.012087660278581899,0.00012389410471544158,0.011130772871433573,27.539650007383898,1.7212281254614936
uji2_08619_stroke_01,uji_pen_characters_v2,tst_UPV_W45,test,19,192,6,2.683949272011306e-05,6.890408764096862e-05,0.008300848609688567,0.02160617844268198,0.02319947323369463,1.7785524104969696e-05,0.021111224427668933,0.000330914373619921,0.018191052020702952,27.539650007383898,1.7212281254614936
uji2_05747_stroke_02,uji_pen_characters_v2,tst_UPV_W30,test,10,192,22,1.3596802686567884e-06,3.848542189211123e-06,0.00196177016727524,0.0038187451147453626,0.004182280142584676,9.372980164974573e-06,0.005271015368906553,4.856569227856599e-06,0.002203762516210991,27.539650007383898,1.7212281254614936
uji2_06319_stroke_01,uji_pen_characters_v2,tst_UPV_W33,test,22,192,9,9.584719033871855e-05,0.00020189426045590057,0.014208950012435844,0.030422092470451627,0.042217878609728574,3.761261641187801e-05,0.037411157435099186,0.0013074255785202123,0.0361583403728685,27.539650007383898,1.7212281254614936
uji2_11574_stroke_01,uji_pen_characters_v2,tst_UPV_W60,test,12,192,4,1.3665656188583661e-05,4.6325715269520026e-05,0.006806299675265557,0.014777727982544024,0.016611345372540973,1.9103916360452e-05,0.013801872181923601,9.185777088911763e-05,0.009584245973946914,26.076350011862814,1.629771875741426
