sample_id,source_dataset,group_id,split,reference_point_count,model_point_count,retained_internal_knots,normalized_input_refit_mse,normalized_reference_mse,normalized_reference_rms,normalized_point_distance_p95,normalized_point_distance_max,normalized_symmetric_chamfer_mse,normalized_hausdorff,original_unit_reference_mse,original_unit_reference_rms,network_batch_time_ms,network_amortized_time_ms
usgs_tnm_contours_large_scale_b9a2805459b7_w000_b9a28054,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,20,2.3660353475781496e-05,2.4000827370218694e-05,0.004899063927957942,0.010135298504810757,0.018629087256991493,3.0419632439540463e-05,0.01861593970289468,4.870423544867723,2.2069036102348747,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_5b180d7afe92_w000_5b180d7a,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-083.750:lat+35.250:size0.25deg,test,768,192,18,9.089887752390353e-06,8.914416755813919e-06,0.002985702054092792,0.00704487210370941,0.009818063512865892,1.800832859562561e-05,0.01098058970487092,0.17156761090844483,0.414207207697361,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_fd9639a33b39_w000_fd9639a3,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-083.750:lat+35.250:size0.25deg,test,768,192,16,0.0003088843938978152,0.0003063357186075467,0.01750244893172229,0.0317390985017732,0.04788385074821464,0.00023045955002352865,0.04451927693211425,231.63981240183466,15.219717881808279,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_45d48b4ac628_w000_45d48b4a,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,24,7.289902929483787e-06,7.317418298717297e-06,0.0027050726974921203,0.005171913545419408,0.009348697880114706,4.3423957521855906e-05,0.012057000564924744,0.06432369390583693,0.25362116218059744,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_6ed1eec0a619_w000_6ed1eec0,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,28,5.803178210494153e-06,5.455438816353738e-06,0.0023356880819907734,0.0040561879661474825,0.00521114286662678,4.2802411236324766e-05,0.013905052691536439,0.10544697945208772,0.3247260067381233,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_265c0bf66552_w000_265c0bf6,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,27,5.390598045577458e-06,4.661779646565507e-06,0.0021591154778208385,0.0034421744062657572,0.004955079312725735,5.5956684104253305e-05,0.012945963518344181,0.045149939470624685,0.21248515117679329,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_2423edf8884e_w000_2423edf8,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,15,0.0007462868477354723,0.0007613212870256949,0.02759205115655041,0.05246649329468128,0.0657628701594665,0.0005431393854116004,0.06353664184384564,4729.93014759167,68.77448762144047,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,27,8.74107497258412e-06,8.036255766329777e-06,0.002834829054163545,0.004840456100048383,0.006873279216517052,4.719801822350073e-05,0.012350995179230079,0.057402367389426584,0.2395879116095522,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_7b7ad524935f_w000_7b7ad524,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,21,7.481873345641771e-05,7.502449083632566e-05,0.00866166790152599,0.016911103855534543,0.025227030420583253,8.519460284093448e-05,0.025786664518554228,23.14395430502517,4.81081638654243,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_92eba18ecc30_w000_92eba18e,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,20,0.00016318314046318016,0.00016191157082257222,0.012724447761006064,0.02697909736687212,0.03832594051336345,0.00017283286522825405,0.038173511354065284,33.46821551474355,5.785172038474184,25.432149996049702,1.5895093747531064
usgs_tnm_contours_large_scale_9c62f779a215_w000_9c62f779,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-120.000:lat+38.750:size0.25deg,test,768,192,17,4.4086786463172016e-05,4.3834827707760195e-05,0.006620787544375684,0.012110010774421504,0.024106326311376224,8.00116795349401e-05,0.023544647034609102,0.1171689093788721,0.3422994440236094,21.141450008144602,1.3213406255090376
usgs_tnm_contours_large_scale_17bc95a03b20_w000_17bc95a0,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,22,6.526049593117583e-05,6.415021499614914e-05,0.008009382934792739,0.017442144557336576,0.026939264720939618,9.397372836663934e-05,0.02847268391731358,9.306608507642494,3.050673451492718,21.141450008144602,1.3213406255090376
usgs_tnm_contours_large_scale_9c3170071369_w000_9c317007,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-120.000:lat+38.750:size0.25deg,test,768,192,17,9.538232337385795e-05,0.00019895375757298552,0.014105096865069219,0.022761435017684652,0.04028900173073439,0.00011514428119358883,0.036878976555195425,104.04397765404376,10.20019498117775,21.141450008144602,1.3213406255090376
usgs_tnm_contours_large_scale_7137de31d183_w000_7137de31,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,26,5.584231000947716e-06,5.125414042230921e-06,0.0022639377293183047,0.004094038289826929,0.007149223546746437,4.435237483965806e-05,0.012818397240495194,0.06661612200643477,0.25810099187417856,21.141450008144602,1.3213406255090376
usgs_tnm_contours_large_scale_7a71c1b0fc08_w000_7a71c1b0,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,12,4.860435291104699e-05,4.824484603890674e-05,0.006945850994579911,0.01446912450183648,0.01865480021071665,3.207460518959522e-05,0.015837110886636408,1.3336924842114466,1.1548560448001501,21.141450008144602,1.3213406255090376
