dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean,feasibility_safeguard_used_rate,native_fit_pass_rate_before_safeguard,native_k_mean_before_safeguard
NaturalEarth,kang_sparse_2015_adaptation,5,0,4.9833252375899884e-05,8.792688261166329e-05,1.0,5.129299679931907e-05,1.0,20.0,,,,,,921.5859672054648,,0.0,1.0,20.0
NaturalEarth,luo_linf_de_2022_adaptation,5,0,7.795151952416873e-05,9.326948827368145e-05,1.0,7.913552886033453e-05,1.0,12.0,,,,,,2631.202533200849,,0.8,0.2,5.8
USGS,ours,5,0,0.00010424032933872338,0.0002668117454677796,0.6,0.00010457524996091443,0.6,39.2,,,,,,8.429224,6.629975400000001,,,
USGS,ours_verified,5,0,4.716442807719573e-05,9.666197325990388e-05,1.0,4.695747077318279e-05,1.0,48.6,,,,,,13.223028199999998,,,,
USGS,park_dominant_point_2007_adaptation,5,0,7.99143049776933e-05,8.891680441761862e-05,1.0,8.100996503196787e-05,1.0,25.2,,,,,,35.15391121036373,,,,
USGS,liang_feature_iki_2017_adaptation,5,0,9.160453835256892e-05,9.748349976724304e-05,1.0,9.321648991909594e-05,0.8,19.8,,,,,,22.840881202137098,,,,
USGS,dung_direct_knot_2017_adaptation,5,0,7.920956501376258e-05,9.881710985931716e-05,1.0,8.066841343684988e-05,0.6,18.4,,,,,,340.105113806203,,1.0,0.0,11.2
USGS,kang_sparse_2015_adaptation,5,0,3.5856980471037994e-05,5.707644237727422e-05,1.0,3.6593615924166765e-05,1.0,37.0,,,,,,703.2054176088423,,0.0,1.0,37.0
USGS,luo_linf_de_2022_adaptation,5,0,7.336243273623939e-05,9.94659288073083e-05,1.0,7.471722702316146e-05,0.6,20.4,,,,,,2734.739534399705,,0.6,0.4,9.6
IndustrialOffset,ours,5,0,9.624363050562447e-06,1.580973539522296e-05,1.0,9.309755364106628e-06,1.0,49.8,,,,,,8.4933092,6.6124927,,,
IndustrialOffset,ours_verified,5,0,9.624363050562447e-06,1.580973539522296e-05,1.0,9.309755364106628e-06,1.0,49.8,,,,,,8.711428000000002,,,,
IndustrialOffset,park_dominant_point_2007_adaptation,5,0,7.179423957837546e-05,8.614019344471401e-05,1.0,7.276677271410395e-05,1.0,20.0,,,,,,31.488546589389443,,,,
IndustrialOffset,liang_feature_iki_2017_adaptation,5,0,6.769310542015361e-05,9.319129022105468e-05,1.0,6.844250586251565e-05,0.8,7.8,,,,,,8.523784595308825,,,,
IndustrialOffset,dung_direct_knot_2017_adaptation,5,0,6.392823712122556e-05,8.950082387324875e-05,1.0,6.474769528774193e-05,1.0,8.8,,,,,,121.6806121985428,,1.0,0.0,4.4
IndustrialOffset,kang_sparse_2015_adaptation,5,0,5.5581107997459596e-05,8.255263449417364e-05,1.0,5.6380094235564094e-05,1.0,13.4,,,,,,1024.9229965964332,,0.0,1.0,13.4
IndustrialOffset,luo_linf_de_2022_adaptation,5,0,4.1811010922642175e-05,8.10745873078167e-05,1.0,4.250464576157682e-05,1.0,8.6,,,,,,2791.8619985925034,,0.6,0.4,5.2
